Sample,barcode,type,Genus,count
Mcav-cntrl,81,Eukaryota,Salmo,3
Mcav-cntrl,81,Eukaryota,Sclerophyllia,3
Mcav-cntrl,81,Eukaryota,Symbiodinium,3
Mcav-cntrl,81,Eukaryota,Acanthopagrus,2
Mcav-cntrl,81,Eukaryota,Acipenser,2
Mcav-cntrl,81,Eukaryota,Acrocephalus,2
Mcav-cntrl,81,Eukaryota,Aelia,2
Mcav-cntrl,81,Eukaryota,Agrochola,2
Mcav-cntrl,81,Eukaryota,Anabas,2
Mcav-cntrl,81,Eukaryota,Aphis,2
Mcav-cntrl,81,Eukaryota,Bos,2
Mcav-cntrl,81,Eukaryota,Brassica,2
Mcav-cntrl,81,Eukaryota,Bugulina,2
Mcav-cntrl,81,Eukaryota,Calliarthron,2
Mcav-cntrl,81,Eukaryota,Cervus,2
Mcav-cntrl,81,Eukaryota,Chrysolina,2
Mcav-cntrl,81,Eukaryota,Corallina,2
Mcav-cntrl,81,Eukaryota,Coregonus,2
Mcav-cntrl,81,Eukaryota,Cottoperca,2
Mcav-cntrl,81,Eukaryota,Cryptosula,2
Mcav-cntrl,81,Eukaryota,Cyprinus,2
Mcav-cntrl,81,Eukaryota,Dendronephthya,2
Mcav-cntrl,81,Eukaryota,Dryobotodes,2
Mcav-cntrl,81,Eukaryota,Erythropodium,2
Mcav-cntrl,81,Eukaryota,Gibbula,2
Mcav-cntrl,81,Eukaryota,Gonocerus,2
Mcav-cntrl,81,Eukaryota,Gossypium,2
Mcav-cntrl,81,Eukaryota,Gouania,2
Mcav-cntrl,81,Eukaryota,Haliclystus,2
Mcav-cntrl,81,Eukaryota,Hydnophora,2
Mcav-cntrl,81,Eukaryota,Iphiclides,2
Mcav-cntrl,81,Eukaryota,Lateolabrax,2
Mcav-cntrl,81,Eukaryota,Lineus,2
Mcav-cntrl,81,Eukaryota,Megachile,2
Mcav-cntrl,81,Eukaryota,Oikopleura,2
Mcav-cntrl,81,Eukaryota,Oryzias,2
Mcav-cntrl,81,Eukaryota,Patella,2
Mcav-cntrl,81,Eukaryota,Pieris,2
Mcav-cntrl,81,Eukaryota,Plesiastrea,2
Mcav-cntrl,81,Eukaryota,Salarias,2
Mcav-cntrl,81,Eukaryota,Sciurus,2
Mcav-cntrl,81,Eukaryota,Seriatopora,2
Mcav-cntrl,81,Eukaryota,Silurus,2
Mcav-cntrl,81,Eukaryota,Taurulus,2
Mcav-cntrl,81,Eukaryota,Thalassophryne,2
Mcav-cntrl,81,Eukaryota,Trachurus,2
Mcav-cntrl,81,Eukaryota,Trichinella,2
Mcav-cntrl,81,Eukaryota,Abrostola,1
Mcav-cntrl,81,Eukaryota,Acentria,1
Mcav-cntrl,81,Eukaryota,Acomys,1
Mcav-cntrl,81,Eukaryota,Adalia,1
Mcav-cntrl,81,Eukaryota,Adineta,1
Mcav-cntrl,81,Eukaryota,Aepocerus,1
Mcav-cntrl,81,Eukaryota,Agriopis,1
Mcav-cntrl,81,Eukaryota,Alitta,1
Mcav-cntrl,81,Eukaryota,Alloplasta,1
Mcav-cntrl,81,Eukaryota,Alsophila,1
Mcav-cntrl,81,Eukaryota,Amphipyra,1
Mcav-cntrl,81,Eukaryota,Anas,1
Mcav-cntrl,81,Eukaryota,Anolis,1
Mcav-cntrl,81,Eukaryota,Anopheles,1
Mcav-cntrl,81,Eukaryota,Anthocharis,1
Mcav-cntrl,81,Eukaryota,Antipathes,1
Mcav-cntrl,81,Eukaryota,Apamea,1
Mcav-cntrl,81,Eukaryota,Aplidium,1
Mcav-cntrl,81,Eukaryota,Apotomis,1
Mcav-cntrl,81,Eukaryota,Apteryx,1
Mcav-cntrl,81,Eukaryota,Aquila,1
Mcav-cntrl,81,Eukaryota,Armillaria,1
Mcav-cntrl,81,Eukaryota,Asterias,1
Mcav-cntrl,81,Eukaryota,Astyanax,1
Mcav-cntrl,81,Eukaryota,Athalia,1
Mcav-cntrl,81,Eukaryota,Autographa,1
Mcav-cntrl,81,Eukaryota,Bellardia,1
Mcav-cntrl,81,Eukaryota,Bibio,1
Mcav-cntrl,81,Eukaryota,Biston,1
Mcav-cntrl,81,Eukaryota,Bombylius,1
Mcav-cntrl,81,Eukaryota,Botrytis,1
Mcav-cntrl,81,Eukaryota,Brachylomia,1
Mcav-cntrl,81,Eukaryota,Brachyptera,1
Mcav-cntrl,81,Eukaryota,Branchiostoma,1
Mcav-cntrl,81,Eukaryota,Caenorhabditis,1
Mcav-cntrl,81,Eukaryota,Calamotropha,1
Mcav-cntrl,81,Eukaryota,Caloglossa,1
Mcav-cntrl,81,Eukaryota,Canis,1
Mcav-cntrl,81,Eukaryota,Cantharis,1
Mcav-cntrl,81,Eukaryota,Carassius,1
Mcav-cntrl,81,Eukaryota,Carposina,1
Mcav-cntrl,81,Eukaryota,Carterocephalus,1
Mcav-cntrl,81,Eukaryota,Caryophyllia,1
Mcav-cntrl,81,Eukaryota,Catocala,1
Mcav-cntrl,81,Eukaryota,Ceutorhynchus,1
Mcav-cntrl,81,Eukaryota,Chanos,1
Mcav-cntrl,81,Eukaryota,Chlamydomonas,1
Mcav-cntrl,81,Eukaryota,Coccinella,1
Mcav-cntrl,81,Eukaryota,Corallinales,1
Mcav-cntrl,81,Eukaryota,Cosmia,1
Mcav-cntrl,81,Eukaryota,Cybosia,1
Mcav-cntrl,81,Eukaryota,Cynarina,1
Mcav-cntrl,81,Eukaryota,Dasysyrphus,1
Mcav-cntrl,81,Eukaryota,Dendrobathypathes,1
Mcav-cntrl,81,Eukaryota,Dendrophyllia,1
Mcav-cntrl,81,Eukaryota,Diaporthe,1
Mcav-cntrl,81,Eukaryota,Drosophila,1
Mcav-cntrl,81,Eukaryota,Durio,1
Mcav-cntrl,81,Eukaryota,Eilema,1
Mcav-cntrl,81,Eukaryota,Ennomos,1
Mcav-cntrl,81,Eukaryota,Epicampocera,1
Mcav-cntrl,81,Eukaryota,Eristalis,1
Mcav-cntrl,81,Eukaryota,Erithacus,1
Mcav-cntrl,81,Eukaryota,Erpetoichthys,1
Mcav-cntrl,81,Eukaryota,Erynnis,1
Mcav-cntrl,81,Eukaryota,Esox,1
Mcav-cntrl,81,Eukaryota,Euglena,1
Mcav-cntrl,81,Eukaryota,Furcula,1
Mcav-cntrl,81,Eukaryota,Gallus,1
Mcav-cntrl,81,Eukaryota,Gari,1
Mcav-cntrl,81,Eukaryota,Gracilariopsis,1
Mcav-cntrl,81,Eukaryota,Harmonia,1
Mcav-cntrl,81,Eukaryota,Hecatera,1
Mcav-cntrl,81,Eukaryota,Heterobilharzia,1
Mcav-cntrl,81,Eukaryota,Homo,1
Mcav-cntrl,81,Eukaryota,Hylaea,1
Mcav-cntrl,81,Eukaryota,Hypena,1
Mcav-cntrl,81,Eukaryota,Ictalurus,1
Mcav-cntrl,81,Eukaryota,Labrus,1
Mcav-cntrl,81,Eukaryota,Larimichthys,1
Mcav-cntrl,81,Eukaryota,Lasioglossum,1
Mcav-cntrl,81,Eukaryota,Lasiommata,1
Mcav-cntrl,81,Eukaryota,Lepidonotus,1
Mcav-cntrl,81,Eukaryota,Leptidea,1
Mcav-cntrl,81,Eukaryota,Limnoperna,1
Mcav-cntrl,81,Eukaryota,Linum,1
Mcav-cntrl,81,Eukaryota,Lupinus,1
Mcav-cntrl,81,Eukaryota,Lytechinus,1
Mcav-cntrl,81,Eukaryota,Macropis,1
Mcav-cntrl,81,Eukaryota,Madracis,1
Mcav-cntrl,81,Eukaryota,Madrepora,1
Mcav-cntrl,81,Eukaryota,Maniola,1
Mcav-cntrl,81,Eukaryota,Marasmarcha,1
Mcav-cntrl,81,Eukaryota,Melinaea,1
Mcav-cntrl,81,Eukaryota,Melitaea,1
Mcav-cntrl,81,Eukaryota,Microfreudea,1
Mcav-cntrl,81,Eukaryota,Misopates,1
Mcav-cntrl,81,Eukaryota,Montipora,1
Mcav-cntrl,81,Eukaryota,Mussa,1
Mcav-cntrl,81,Eukaryota,Myzus,1
Mcav-cntrl,81,Eukaryota,Nannochloropsis,1
Mcav-cntrl,81,Eukaryota,Nematopogon,1
Mcav-cntrl,81,Eukaryota,Nemoura,1
Mcav-cntrl,81,Eukaryota,Netelia,1
Mcav-cntrl,81,Eukaryota,Notocelia,1
Mcav-cntrl,81,Eukaryota,Nysson,1
Mcav-cntrl,81,Eukaryota,Ocypus,1
Mcav-cntrl,81,Eukaryota,Olea,1
Mcav-cntrl,81,Eukaryota,Oncorhynchus,1
Mcav-cntrl,81,Eukaryota,Operophtera,1
Mcav-cntrl,81,Eukaryota,Ophion,1
Mcav-cntrl,81,Eukaryota,Oryctolagus,1
Mcav-cntrl,81,Eukaryota,Osmia,1
Mcav-cntrl,81,Eukaryota,Pachyseris,1
Mcav-cntrl,81,Eukaryota,Pan,1
Mcav-cntrl,81,Eukaryota,Papaver,1
Mcav-cntrl,81,Eukaryota,Parantipathes,1
Mcav-cntrl,81,Eukaryota,Pelecanus,1
Mcav-cntrl,81,Eukaryota,Petromyzon,1
Mcav-cntrl,81,Eukaryota,Phalaenopsis,1
Mcav-cntrl,81,Eukaryota,Phalera,1
Mcav-cntrl,81,Eukaryota,Phyllostachys,1
Mcav-cntrl,81,Eukaryota,Phyto,1
Mcav-cntrl,81,Eukaryota,Plectropomus,1
Mcav-cntrl,81,Eukaryota,Pollenia,1
Mcav-cntrl,81,Eukaryota,Polydrusus,1
Mcav-cntrl,81,Eukaryota,Polyommatus,1
Mcav-cntrl,81,Eukaryota,Porites,1
Mcav-cntrl,81,Eukaryota,Prunus,1
Mcav-cntrl,81,Eukaryota,Pterostichus,1
Mcav-cntrl,81,Eukaryota,Pyrochroa,1
Mcav-cntrl,81,Eukaryota,Quercus,1
Mcav-cntrl,81,Eukaryota,Rhodogorgon,1
Mcav-cntrl,81,Eukaryota,Riquetophycus,1
Mcav-cntrl,81,Eukaryota,Scleropages,1
Mcav-cntrl,81,Eukaryota,Scyliorhinus,1
Mcav-cntrl,81,Eukaryota,Selenia,1
Mcav-cntrl,81,Eukaryota,Sesia,1
Mcav-cntrl,81,Eukaryota,Setaria,1
Mcav-cntrl,81,Eukaryota,Simochromis,1
Mcav-cntrl,81,Eukaryota,Sorex,1
Mcav-cntrl,81,Eukaryota,Sphaeramia,1
Mcav-cntrl,81,Eukaryota,Sphecodes,1
Mcav-cntrl,81,Eukaryota,Sporolithon,1
Mcav-cntrl,81,Eukaryota,Stelis,1
Mcav-cntrl,81,Eukaryota,Stenoptilia,1
Mcav-cntrl,81,Eukaryota,Sthenelais,1
Mcav-cntrl,81,Eukaryota,Stylocoeniella,1
Mcav-cntrl,81,Eukaryota,Synanthedon,1
Mcav-cntrl,81,Eukaryota,Synarthrophyton,1
Mcav-cntrl,81,Eukaryota,Telmatherina,1
Mcav-cntrl,81,Eukaryota,Telopea,1
Mcav-cntrl,81,Eukaryota,Tenthredo,1
Mcav-cntrl,81,Eukaryota,Tethocyathus,1
Mcav-cntrl,81,Eukaryota,Tetrahymena,1
Mcav-cntrl,81,Eukaryota,Tetramorium,1
Mcav-cntrl,81,Eukaryota,Thera,1
Mcav-cntrl,81,Eukaryota,Trichobilharzia,1
Mcav-cntrl,81,Eukaryota,Triticum,1
Mcav-cntrl,81,Eukaryota,Trochocyathus,1
Mcav-cntrl,81,Eukaryota,Vanessa,1
Mcav-cntrl,81,Eukaryota,Verticillium,1
Mcav-cntrl,81,Eukaryota,Vespa,1
Mcav-cntrl,81,Eukaryota,Vitis,1
Mcav-cntrl,81,Eukaryota,Xylocampa,1
Mcav-cntrl,81,Eukaryota,Xylota,1
Mcav-cntrl,81,Eukaryota,Ypsolopha,1
Mcav-cntrl,81,N/A,eukaryotic,1
Mcav-cntrl,81,Viruses,Escherichia,14
Mcav-cntrl,81,Viruses,Severe,2
Mcav-cntrl,81,Viruses,Circoviridae,1
Mcav-cntrl,81,Viruses,Pandoravirus,1
Mcav-disease,82,Bacteria,Mycolicibacterium,1183
Mcav-disease,82,Bacteria,Klebsiella,39
Mcav-disease,82,Bacteria,uncultured,32
Mcav-disease,82,Bacteria,Escherichia,5
Mcav-disease,82,Bacteria,Staphylococcus,3
Mcav-disease,82,Bacteria,Vibrio,3
Mcav-disease,82,Bacteria,Mycobacterium,2
Mcav-disease,82,Bacteria,Stieleria,2
Mcav-disease,82,Bacteria,Streptomyces,2
Mcav-disease,82,Bacteria,Alienimonas,1
Mcav-disease,82,Bacteria,Alteromonas,1
Mcav-disease,82,Bacteria,Antarcticibacterium,1
Mcav-disease,82,Bacteria,Arsenophonus,1
Mcav-disease,82,Bacteria,Borreliella,1
Mcav-disease,82,Bacteria,Bradyrhizobium,1
